id,duration,protocol_type,service,flag,src_bytes,class
1,0,tcp,ftp_data,SF,491,normal
2,0,udp,other,SF,146,normal
4,0,tcp,http,SF,232,normal
5,0,tcp,http,SF,199,normal
13,0,tcp,http,SF,287,normal
17,0,tcp,http,SF,300,normal
19,0,tcp,http,SF,233,normal
20,0,tcp,http,SF,343,normal
23,0,tcp,http,SF,253,normal
24,5607,udp,other,SF,147,normal
26,507,tcp,telnet,SF,437,normal
28,0,tcp,http,SF,227,normal
29,0,tcp,http,SF,215,normal
30,0,tcp,http,SF,241,normal
33,0,tcp,http,SF,303,normal
35,0,udp,domain_u,SF,45,normal
36,1,udp,private,SF,105,normal
37,0,udp,domain_u,SF,43,normal
39,0,tcp,http,SF,324,normal
43,2,tcp,smtp,SF,1591,normal
44,9052,udp,other,SF,146,normal
45,0,tcp,http,SF,290,normal
48,0,tcp,http,SF,255,normal
51,0,tcp,http,SF,302,normal
54,0,tcp,http,SF,220,normal
55,0,udp,domain_u,SF,43,normal
56,0,udp,domain_u,SF,44,normal
60,0,udp,domain_u,SF,43,normal
61,0,tcp,ftp_data,SF,641,normal
64,0,tcp,http,SF,310,normal
66,0,tcp,smtp,SF,696,normal
71,0,tcp,http,SF,221,normal
73,0,icmp,urp_i,SF,181,normal
74,0,udp,domain_u,SF,42,normal
76,0,tcp,ftp_data,SF,12,normal
78,0,tcp,http,SF,210,normal
79,0,tcp,http,SF,321,normal
81,0,tcp,http,SF,329,normal
85,0,tcp,http,SF,320,normal
87,0,tcp,http,SF,225,normal
90,315,udp,other,SF,146,normal
91,0,tcp,http,SF,247,normal
92,0,tcp,http,SF,353,normal
93,0,udp,domain_u,SF,44,normal
96,2,tcp,smtp,SF,3065,normal
97,0,udp,other,SF,102,normal
98,0,tcp,http,SF,259,normal
99,1082,udp,other,SF,147,normal
101,0,tcp,http,SF,0,normal
102,0,tcp,http,SF,309,normal
103,0,tcp,http,REJ,0,normal
104,0,tcp,http,SF,278,normal
106,0,tcp,http,SF,313,normal
107,0,tcp,http,SF,219,normal
108,0,tcp,http,SF,245,normal
109,0,tcp,http,SF,328,normal
110,0,tcp,http,REJ,0,normal
111,0,tcp,http,SF,251,normal
112,0,tcp,smtp,SF,2089,normal
113,0,tcp,http,REJ,0,normal
114,0,tcp,http,SF,237,normal
115,0,tcp,http,SF,324,normal
118,0,udp,private,SF,105,normal
119,0,tcp,http,SF,218,normal
120,0,tcp,http,SF,325,normal
124,240,tcp,http,SF,328,normal
126,0,tcp,finger,SF,9,normal
127,0,udp,domain_u,SF,46,normal
128,1,tcp,smtp,SF,1079,normal
129,0,udp,domain_u,SF,45,normal
130,26,tcp,ftp,SF,273,normal
133,0,tcp,http,SF,237,normal
134,0,tcp,http,SF,225,normal
137,0,udp,other,SF,147,normal
138,0,tcp,http,SF,262,normal
141,0,tcp,http,SF,261,normal
144,0,tcp,http,SF,294,normal
145,0,tcp,http,SF,221,normal
146,0,tcp,http,SF,284,normal
148,0,tcp,http,SF,309,normal
152,0,tcp,http,SF,214,normal
156,0,udp,domain_u,SF,46,normal
157,0,tcp,ftp_data,SF,748,normal
161,0,tcp,http,SF,329,normal
162,0,tcp,ftp_data,SF,9,normal
163,0,udp,domain_u,SF,46,normal
164,0,tcp,ftp_data,SF,1766,normal
167,7,tcp,finger,SF,8,normal
168,0,tcp,http,SF,266,normal
169,0,tcp,ftp_data,SF,245,normal
170,0,tcp,http,SF,295,normal
172,0,tcp,http,SF,228,normal
177,0,tcp,http,REJ,0,normal
181,0,icmp,ecr_i,SF,30,normal
182,1,tcp,smtp,SF,2078,normal
183,0,tcp,ftp_data,SF,19,normal
184,0,tcp,smtp,SF,661,normal
189,0,tcp,smtp,SF,1075,normal
190,0,tcp,http,SF,223,normal
192,0,tcp,http,SF,233,normal
195,0,tcp,http,SF,201,normal
196,0,tcp,http,SF,271,normal
197,0,tcp,ftp_data,SF,14416,normal
198,0,tcp,http,SF,227,normal
200,0,tcp,http,SF,225,normal
201,0,tcp,http,SF,176,normal
203,0,tcp,http,SF,227,normal
204,0,tcp,smtp,SF,855,normal
205,0,tcp,smtp,SF,944,normal
206,0,tcp,smtp,SF,954,normal
208,0,tcp,http,SF,166,normal
209,0,tcp,http,SF,306,normal
214,0,tcp,http,SF,313,normal
217,0,tcp,http,SF,285,normal
218,0,tcp,http,SF,226,normal
219,0,tcp,http,SF,256,normal
220,1,tcp,smtp,SF,3740,normal
221,0,tcp,http,SF,224,normal
226,0,tcp,http,SF,201,normal
227,0,tcp,http,SF,285,normal
229,0,tcp,ftp_data,SF,7422,normal
230,0,tcp,http,SF,198,normal
231,20,tcp,smtp,SF,2310,normal
232,0,tcp,http,SF,331,normal
233,0,icmp,urp_i,SF,65,normal
235,0,udp,domain_u,SF,45,normal
239,0,tcp,finger,SF,9,normal
240,0,tcp,http,SF,283,normal
241,0,tcp,http,SF,221,normal
246,0,tcp,http,SF,302,normal
250,0,tcp,http,SF,355,normal
252,18,tcp,telnet,SF,106,normal
253,0,tcp,http,SF,286,normal
257,0,tcp,http,SF,168,normal
258,0,tcp,http,SF,238,normal
260,0,tcp,http,SF,291,normal
262,0,tcp,smtp,SF,749,normal
263,0,tcp,http,SF,198,normal
265,0,tcp,http,SF,167,normal
266,0,tcp,http,SF,241,normal
267,0,tcp,http,SF,337,normal
268,0,tcp,smtp,SF,729,normal
271,0,tcp,http,SF,222,normal
273,0,tcp,http,REJ,0,normal
274,0,udp,domain_u,SF,46,normal
275,0,tcp,http,SF,246,normal
276,0,tcp,http,SF,222,normal
279,409,tcp,telnet,SF,279,normal
280,0,tcp,http,SF,226,normal
281,0,tcp,http,SF,299,normal
283,0,tcp,ftp_data,SF,12,normal
284,0,tcp,http,SF,281,normal
286,0,udp,domain_u,SF,42,normal
289,0,tcp,http,SF,263,normal
291,0,tcp,ftp,RSTO,0,normal
294,0,tcp,http,SF,283,normal
295,0,tcp,http,SF,161,normal
296,0,tcp,http,SF,211,normal
297,0,tcp,http,SF,201,normal
299,0,udp,other,SF,147,normal
301,0,tcp,ftp_data,SF,567,normal
305,0,tcp,http,SF,320,normal
307,0,tcp,smtp,S0,0,normal
308,0,tcp,http,SF,204,normal
310,0,tcp,ftp_data,SF,10389,normal
312,0,tcp,http,SF,344,normal
315,0,tcp,http,SF,243,normal
319,0,udp,private,SF,105,normal
321,1,tcp,smtp,SF,1080,normal
325,0,tcp,smtp,SF,657,normal
327,0,tcp,http,SF,284,normal
328,0,tcp,http,SF,261,normal
329,0,tcp,http,SF,317,normal
330,0,udp,domain_u,SF,33,normal
333,0,udp,domain_u,SF,44,normal
334,0,tcp,http,SF,215,normal
336,0,tcp,http,SF,332,normal
337,1,tcp,smtp,SF,978,normal
338,0,tcp,http,SF,296,normal
341,0,tcp,http,SF,214,normal
343,0,udp,ntp_u,SF,48,normal
344,0,tcp,http,SF,226,normal
346,0,icmp,urp_i,SF,78,normal
348,0,tcp,http,REJ,0,normal
352,0,tcp,http,SF,294,normal
354,0,tcp,http,SF,220,normal
356,0,tcp,http,SF,196,normal
358,0,tcp,http,SF,327,normal
360,0,tcp,ftp_data,SF,319,normal
361,0,tcp,smtp,SF,1087,normal
362,0,tcp,http,SF,210,normal
364,0,tcp,http,REJ,0,normal
365,0,tcp,http,SF,234,normal
368,0,tcp,http,SF,237,normal
371,0,tcp,http,SF,200,normal
372,0,tcp,http,SF,219,normal
373,0,tcp,http,SF,284,normal
375,0,tcp,http,SF,325,normal
377,0,icmp,eco_i,SF,30,normal
378,0,tcp,http,SF,335,normal
379,0,udp,domain_u,SF,36,normal
381,0,udp,domain_u,SF,43,normal
383,0,tcp,http,REJ,0,normal
