id,duration,protocol_type,service,flag,src_bytes,class,
3,0,tcp,private,S0,0,anomaly, 
6,0,tcp,private,REJ,0,anomaly,
7,0,tcp,private,S0,0,anomaly,
8,0,tcp,private,S0,0,anomaly,
9,0,tcp,remote_job,S0,0,anomaly,
10,0,tcp,private,S0,0,anomaly,
11,0,tcp,private,REJ,0,anomaly,
12,0,tcp,private,S0,0,anomaly,
14,0,tcp,ftp_data,SF,334,anomaly,
15,0,tcp,name,S0,0,anomaly,
16,0,tcp,netbios_ns,S0,0,anomaly,
18,0,icmp,eco_i,SF,18,anomaly,
21,0,tcp,mtp,S0,0,anomaly,
22,0,tcp,private,S0,0,anomaly,
25,0,tcp,mtp,S0,0,anomaly,
27,0,tcp,private,S0,0,anomaly,
31,0,icmp,eco_i,SF,8,anomaly,
32,0,tcp,finger,S0,0,anomaly,
34,0,tcp,private,REJ,0,anomaly,
38,0,tcp,supdup,S0,0,anomaly,
40,0,tcp,uucp_path,S0,0,anomaly,
41,0,tcp,ftp_data,S0,0,anomaly,
42,0,tcp,Z39_50,S0,0,anomaly,
46,0,tcp,csnet_ns,S0,0,anomaly,
47,0,udp,private,SF,28,anomaly,
49,0,tcp,ftp_data,SF,334,anomaly,
50,0,tcp,ftp_data,S0,0,anomaly,
52,0,tcp,private,REJ,0,anomaly,
53,0,udp,private,SF,28,anomaly,
57,0,icmp,eco_i,SF,8,anomaly,
58,0,tcp,uucp,S0,0,anomaly,
59,0,tcp,finger,S0,0,anomaly,
62,0,tcp,private,REJ,0,anomaly,
63,0,tcp,private,REJ,0,anomaly,
65,0,tcp,private,REJ,0,anomaly,
67,0,tcp,netbios_dgm,RSTR,0,anomaly,
68,0,tcp,http,S0,0,anomaly,
69,0,tcp,netbios_dgm,REJ,0,anomaly,
70,0,tcp,supdup,S0,0,anomaly,
72,0,tcp,private,S0,0,anomaly,
75,0,tcp,private,S0,0,anomaly,
77,0,tcp,auth,S0,0,anomaly,
80,0,tcp,private,REJ,0,anomaly,
82,0,tcp,uucp_path,REJ,0,anomaly,
83,0,tcp,domain,S0,0,anomaly,
84,0,icmp,eco_i,SF,8,anomaly,
86,0,tcp,private,S0,0,anomaly,
88,0,tcp,ftp,S0,0,anomaly,
89,0,tcp,private,REJ,0,anomaly,
94,0,tcp,private,REJ,0,anomaly,
95,0,tcp,csnet_ns,S0,0,anomaly,
100,0,tcp,private,S0,0,anomaly,
105,0,udp,private,SF,28,anomaly,
116,25950,tcp,private,RSTR,1,anomaly,
117,0,tcp,Z39_50,REJ,0,anomaly,
121,0,tcp,uucp_path,REJ,0,anomaly,
122,0,tcp,bgp,REJ,0,anomaly,
123,0,tcp,csnet_ns,S0,0,anomaly,
125,0,tcp,bgp,S0,0,anomaly,
131,0,tcp,private,S0,0,anomaly,
132,0,tcp,ldap,REJ,0,anomaly,
135,0,tcp,private,S0,0,anomaly,
136,0,tcp,supdup,S0,0,anomaly,
139,0,icmp,ecr_i,SF,1032,anomaly,
140,0,tcp,private,S0,0,anomaly,
142,0,tcp,bgp,REJ,0,anomaly,
143,0,tcp,netbios_dgm,REJ,0,anomaly,
147,0,tcp,gopher,SH,0,anomaly,
149,0,tcp,ftp_data,SF,334,anomaly,
150,0,tcp,telnet,S0,0,anomaly,
151,0,tcp,private,S0,0,anomaly,
153,0,tcp,vmnet,S0,0,anomaly,
154,0,tcp,systat,S0,0,anomaly,
155,0,tcp,http_443,S0,0,anomaly,
158,0,tcp,efs,S0,0,anomaly,
159,0,icmp,eco_i,SF,8,anomaly,
160,0,tcp,whois,S0,0,anomaly,
165,0,tcp,remote_job,S0,0,anomaly,
166,9015,tcp,other,RSTR,1,anomaly,
171,0,tcp,gopher,S0,0,anomaly,
173,0,icmp,ecr_i,SF,1032,anomaly,
174,0,tcp,imap4,REJ,0,anomaly,
175,0,tcp,private,S0,0,anomaly,
176,0,tcp,whois,S0,0,anomaly,
178,0,tcp,other,REJ,0,anomaly,
179,0,udp,other,SF,1,anomaly,
180,0,tcp,iso_tsap,S0,0,anomaly,
185,0,udp,private,SF,28,anomaly,
186,0,tcp,ftp_data,S0,0,anomaly,
187,0,tcp,private,S0,0,anomaly,
188,0,tcp,private,S0,0,anomaly,
191,15159,tcp,ftp,SF,350,anomaly,
193,0,tcp,private,S0,0,anomaly,
194,0,tcp,echo,S0,0,anomaly,
199,0,tcp,private,REJ,0,anomaly,
202,0,tcp,klogin,S0,0,anomaly,
207,0,tcp,uucp_path,S0,0,anomaly,
210,0,tcp,netbios_ns,S0,0,anomaly,
211,0,tcp,private,REJ,0,anomaly,
212,0,icmp,ecr_i,SF,1480,anomaly,
213,0,tcp,iso_tsap,S0,0,anomaly,
215,0,tcp,link,S0,0,anomaly,
216,0,tcp,sunrpc,S0,0,anomaly,
222,0,tcp,login,S0,0,anomaly,
223,4,tcp,ftp_data,SF,832,anomaly,
224,0,tcp,finger,S0,0,anomaly,
225,0,icmp,eco_i,SF,8,anomaly,
228,0,tcp,kshell,S0,0,anomaly,
234,0,udp,private,SF,28,anomaly,
236,0,tcp,ftp,RSTO,0,anomaly,
237,0,tcp,auth,S0,0,anomaly,
238,0,tcp,kshell,S0,0,anomaly,
242,0,icmp,eco_i,SF,18,anomaly,
243,0,tcp,vmnet,S0,0,anomaly,
244,0,tcp,telnet,S0,0,anomaly,
245,0,tcp,ftp_data,S0,0,anomaly,
247,0,tcp,private,S0,0,anomaly,
248,0,icmp,eco_i,SF,8,anomaly,
249,0,tcp,private,S0,0,anomaly,
251,0,icmp,eco_i,SF,8,anomaly,
254,9235,tcp,other,RSTR,1,anomaly,
255,0,tcp,sql_net,SH,0,anomaly,
256,0,icmp,ecr_i,SF,1032,anomaly,
259,0,tcp,private,RSTR,0,anomaly,
261,0,tcp,vmnet,S0,0,anomaly,
264,0,tcp,mtp,REJ,0,anomaly,
269,0,icmp,eco_i,SF,8,anomaly,
270,0,tcp,csnet_ns,S0,0,anomaly,
272,0,tcp,auth,REJ,0,anomaly,
277,0,tcp,vmnet,S0,0,anomaly,
278,0,tcp,private,S0,0,anomaly,
282,0,tcp,http,S0,0,anomaly,
285,0,tcp,bgp,S0,0,anomaly,
287,0,tcp,ftp,S0,0,anomaly,
288,0,tcp,time,S0,0,anomaly,
290,36613,tcp,private,RSTR,1,anomaly,
292,0,tcp,private,S0,0,anomaly,
293,0,tcp,sql_net,S0,0,anomaly,
298,0,icmp,eco_i,SF,8,anomaly,
300,0,tcp,private,S0,0,anomaly,
302,0,tcp,hostnames,REJ,0,anomaly,
303,0,tcp,telnet,S0,0,anomaly,
304,5043,tcp,ftp_data,SF,5131424,anomaly,
306,0,icmp,eco_i,SF,8,anomaly,
309,0,tcp,time,RSTR,0,anomaly,
311,0,tcp,uucp,S0,0,anomaly,
313,0,tcp,exec,RSTO,0,anomaly,
314,0,tcp,netbios_dgm,S0,0,anomaly,
316,0,icmp,ecr_i,SF,1032,anomaly,
317,0,icmp,eco_i,SF,8,anomaly,
318,0,tcp,private,REJ,0,anomaly,
320,0,tcp,private,S0,0,anomaly,
322,0,tcp,telnet,S0,0,anomaly,
323,0,tcp,private,S0,0,anomaly,
324,0,tcp,Z39_50,S0,0,anomaly,
326,0,tcp,http_443,S0,0,anomaly,
331,0,tcp,private,REJ,0,anomaly,
332,0,tcp,private,RSTR,0,anomaly,
335,0,tcp,private,S0,0,anomaly,
339,0,tcp,telnet,S0,0,anomaly,
340,0,tcp,private,REJ,0,anomaly,
342,0,tcp,private,S0,0,anomaly,
345,0,tcp,bgp,S0,0,anomaly,
347,0,tcp,private,S0,0,anomaly,
349,0,tcp,discard,S0,0,anomaly,
350,0,tcp,private,REJ,0,anomaly,
351,0,tcp,private,REJ,0,anomaly,
353,0,tcp,supdup,S0,0,anomaly,
355,0,tcp,other,REJ,0,anomaly,
357,0,tcp,http,S0,0,anomaly,
359,0,tcp,uucp_path,REJ,0,anomaly,
363,0,tcp,sql_net,S0,0,anomaly,
366,0,icmp,eco_i,SF,8,anomaly,
367,0,tcp,http,SF,54540,anomaly,
369,0,tcp,ftp_data,S0,0,anomaly,
370,0,tcp,private,S0,0,anomaly,
374,0,tcp,nntp,S0,0,anomaly,
376,0,tcp,courier,S0,0,anomaly,
380,0,tcp,private,S0,0,anomaly,
382,0,tcp,courier,S0,0,anomaly,
384,0,tcp,private,S0,0,anomaly,
385,0,tcp,private,S0,0,anomaly,
387,0,tcp,uucp,S0,0,anomaly,
393,0,tcp,ftp,S0,0,anomaly,
394,0,tcp,private,S0,0,anomaly,
395,0,tcp,private,S0,0,anomaly,
396,0,tcp,private,S0,0,anomaly,
397,31401,tcp,private,RSTR,1,anomaly,
398,0,tcp,private,S0,0,anomaly,
399,0,icmp,eco_i,SF,18,anomaly,
402,0,tcp,finger,S0,0,anomaly,
405,0,icmp,eco_i,SF,8,anomaly,
409,0,tcp,private,S0,0,anomaly,
410,0,tcp,telnet,S0,0,anomaly,
412,0,tcp,exec,RSTO,0,anomaly,
415,0,tcp,login,S0,0,anomaly,
418,0,tcp,Z39_50,S0,0,anomaly,
419,0,tcp,private,S0,0,anomaly,
420,0,tcp,private,S0,0,anomaly,
422,0,tcp,uucp,RSTO,0,anomaly,
423,0,tcp,private,S0,0,anomaly,
424,0,udp,private,SF,1,anomaly,
425,0,udp,private,SF,28,anomaly,
427,0,icmp,ecr_i,SF,1032,anomaly,
430,0,tcp,private,REJ,0,anomaly,
432,0,icmp,ecr_i,SF,520,anomaly,
433,0,tcp,ftp_data,S0,0,anomaly,
441,0,tcp,login,RSTO,0,anomaly,
443,0,tcp,whois,S0,0,anomaly,
444,0,tcp,ctf,S0,0,anomaly,
447,0,icmp,ecr_i,SF,1032,anomaly,
448,0,udp,private,SF,28,anomaly,
449,0,tcp,private,S0,0,anomaly,
453,0,tcp,private,S0,0,anomaly,
454,0,tcp,private,S0,0,anomaly,
455,0,tcp,csnet_ns,S0,0,anomaly,
457,0,tcp,private,REJ,0,anomaly,
459,0,tcp,csnet_ns,S0,0,anomaly,
460,0,tcp,private,S0,0,anomaly,
463,0,tcp,telnet,S0,0,anomaly,
466,0,tcp,private,S0,0,anomaly,
467,0,tcp,http,SF,54540,anomaly,
468,0,tcp,vmnet,S0,0,anomaly,
471,0,tcp,private,S0,0,anomaly,
473,0,tcp,private,REJ,0,anomaly,
475,0,tcp,link,S0,0,anomaly,
478,0,tcp,login,S0,0,anomaly,
479,0,icmp,eco_i,SF,8,anomaly,
481,0,tcp,private,REJ,0,anomaly,
482,0,tcp,ssh,S0,0,anomaly,
483,0,tcp,time,S0,0,anomaly,
485,1,tcp,private,RSTR,0,anomaly,
488,0,tcp,ftp_data,REJ,0,anomaly,
489,0,tcp,domain,S0,0,anomaly,
491,0,tcp,private,S0,0,anomaly,
496,0,tcp,login,S0,0,anomaly,
503,0,tcp,private,S0,0,anomaly,
507,1,tcp,ftp,SF,1238,anomaly,
508,0,icmp,eco_i,SF,8,anomaly,
510,0,tcp,private,RSTR,0,anomaly,
517,0,tcp,private,S0,0,anomaly,
518,0,tcp,exec,S0,0,anomaly,
521,0,tcp,mtp,S0,0,anomaly,
523,0,tcp,finger,S0,0,anomaly,
527,0,tcp,uucp_path,S0,0,anomaly,
529,0,tcp,private,RSTR,0,anomaly,
530,0,tcp,Z39_50,REJ,0,anomaly,
531,0,udp,private,SF,1,anomaly,
532,0,tcp,telnet,S0,0,anomaly,
533,0,tcp,imap4,S0,0,anomaly,
535,0,tcp,private,S0,0,anomaly,
537,0,tcp,finger,S0,0,anomaly,
539,0,tcp,smtp,S0,0,anomaly,
541,0,tcp,daytime,S0,0,anomaly,
542,0,tcp,private,S0,0,anomaly,
548,0,tcp,ldap,S0,0,anomaly,
550,0,tcp,finger,S0,0,anomaly,
551,0,tcp,ftp_data,SF,334,anomaly,
552,0,icmp,eco_i,SF,8,anomaly,
554,0,tcp,Z39_50,S0,0,anomaly,
557,0,tcp,private,REJ,0,anomaly,
558,0,tcp,bgp,S0,0,anomaly,
559,0,tcp,private,REJ,0,anomaly,
560,0,tcp,time,S0,0,anomaly,
562,0,tcp,time,RSTO,0,anomaly,
565,0,tcp,private,S0,0,anomaly,
566,0,tcp,private,S0,0,anomaly,
568,0,icmp,ecr_i,SF,520,anomaly,
569,0,tcp,Z39_50,S0,0,anomaly,
571,0,icmp,eco_i,SF,18,anomaly,
572,0,tcp,uucp,S0,0,anomaly,
573,0,tcp,netbios_dgm,S0,0,anomaly,
574,0,tcp,ftp,S0,0,anomaly,
578,0,tcp,private,S0,0,anomaly,
582,0,tcp,ftp,SF,1250,anomaly,
583,0,tcp,whois,REJ,0,anomaly,
587,0,icmp,eco_i,SF,8,anomaly,
590,0,tcp,http,S0,0,anomaly,
592,41285,tcp,remote_job,RSTR,1,anomaly,
593,0,tcp,discard,S0,0,anomaly,
596,0,tcp,ftp_data,S0,0,anomaly,
598,0,tcp,shell,S0,0,anomaly,
600,0,tcp,private,S0,0,anomaly,
601,0,tcp,private,S0,0,anomaly,
603,0,tcp,private,S0,0,anomaly,
604,0,icmp,eco_i,SF,18,anomaly,
606,13488,tcp,other,RSTR,1,anomaly,
607,0,tcp,private,S0,0,anomaly,
608,0,tcp,http,SF,54540,anomaly,
610,0,tcp,netbios_ns,REJ,0,anomaly,
612,0,tcp,systat,REJ,0,anomaly,
616,0,tcp,supdup,S0,0,anomaly,
617,0,tcp,private,REJ,0,anomaly,
620,0,tcp,http,SF,54540,anomaly,
622,25,tcp,private,RSTR,0,anomaly,
623,0,tcp,private,REJ,0,anomaly,
625,0,tcp,private,S0,0,anomaly,
626,0,tcp,kshell,S0,0,anomaly,
627,0,tcp,hostnames,S0,0,anomaly,
628,0,tcp,private,S0,0,anomaly,
630,0,tcp,uucp,RSTO,0,anomaly,
632,0,tcp,csnet_ns,REJ,0,anomaly,
635,0,tcp,echo,S0,0,anomaly,
639,0,tcp,domain,S0,0,anomaly,
641,0,tcp,klogin,S0,0,anomaly,
644,0,tcp,private,RSTR,0,anomaly,
646,0,tcp,finger,S0,0,anomaly,
647,0,tcp,ftp,S0,0,anomaly,
648,0,tcp,ctf,S0,0,anomaly,
649,0,tcp,private,S0,0,anomaly,
651,0,tcp,ssh,S0,0,anomaly,
653,0,icmp,eco_i,SF,8,anomaly,
660,0,tcp,supdup,S0,0,anomaly,
662,0,tcp,other,REJ,0,anomaly,
663,0,udp,other,SF,1,anomaly,
666,0,tcp,private,S0,0,anomaly,
667,0,udp,private,SF,28,anomaly,
668,0,tcp,iso_tsap,REJ,0,anomaly,
672,0,tcp,netbios_ns,S0,0,anomaly,
674,0,tcp,ldap,REJ,0,anomaly,
675,0,tcp,http,SF,54540,anomaly,
679,0,tcp,telnet,S0,0,anomaly,
680,0,tcp,private,S0,0,anomaly,
688,0,tcp,auth,S0,0,anomaly,
689,0,tcp,private,S0,0,anomaly,
690,0,tcp,telnet,RSTO,125,anomaly,
694,0,tcp,nntp,S0,0,anomaly,
696,0,tcp,private,REJ,0,anomaly,
697,0,tcp,imap4,S0,0,anomaly,
704,0,tcp,private,S0,0,anomaly,
706,0,udp,private,SF,28,anomaly,
707,0,tcp,private,REJ,0,anomaly,
709,0,tcp,private,S0,0,anomaly,
710,0,tcp,private,REJ,0,anomaly,
711,0,tcp,private,REJ,0,anomaly,
713,0,tcp,private,S0,0,anomaly,
714,0,tcp,private,S0,0,anomaly,
716,0,tcp,private,S0,0,anomaly,
718,0,tcp,ftp_data,SF,334,anomaly,
719,0,tcp,domain,S0,0,anomaly,
725,0,tcp,private,S0,0,anomaly,
726,0,tcp,csnet_ns,S0,0,anomaly,
733,0,tcp,netstat,REJ,0,anomaly,
734,0,tcp,private,REJ,0,anomaly,
738,0,tcp,private,S0,0,anomaly,
739,0,tcp,uucp,S0,0,anomaly,
741,0,icmp,ecr_i,SF,1032,anomaly,
742,0,tcp,private,S0,0,anomaly,
743,0,tcp,vmnet,S0,0,anomaly,
745,0,tcp,uucp,S0,0,anomaly,
749,0,icmp,ecr_i,SF,1032,anomaly,
751,0,tcp,nnsp,S0,0,anomaly,
752,0,tcp,name,S0,0,anomaly,
754,0,tcp,whois,S0,0,anomaly,
755,0,tcp,netbios_dgm,S0,0,anomaly,
756,0,tcp,http,SF,54540,anomaly,
757,0,tcp,private,RSTR,0,anomaly,
758,0,tcp,gopher,REJ,0,anomaly,
759,0,udp,private,SF,28,anomaly,
760,0,icmp,eco_i,SF,8,anomaly,
761,0,tcp,ftp_data,S0,0,anomaly,
762,0,tcp,ssh,S0,0,anomaly,
764,0,tcp,iso_tsap,REJ,0,anomaly,
766,0,tcp,domain,S0,0,anomaly,
767,0,tcp,ftp,RSTO,0,anomaly,
769,0,tcp,ftp_data,SF,246,anomaly,
770,0,tcp,Z39_50,S0,0,anomaly,
771,0,tcp,discard,S0,0,anomaly,
772,0,tcp,auth,S0,0,anomaly,
776,0,tcp,private,S0,0,anomaly,
