id,duration,protocol_type,service,flag,src_bytes,classN,classA
1,0,tcp,ftp_data,SF,491,1,1
2,0,udp,other,SF,146,1,1
4,0,tcp,http,SF,232,1,1
5,0,tcp,http,SF,199,1,1
13,0,tcp,http,SF,287,1,1
17,0,tcp,http,SF,300,1,1
19,0,tcp,http,SF,233,1,1
20,0,tcp,http,SF,343,1,1
23,0,tcp,http,SF,253,1,1
24,5607,udp,other,SF,147,1,1
26,507,tcp,telnet,SF,437,1,1
28,0,tcp,http,SF,227,1,1
29,0,tcp,http,SF,215,1,1
30,0,tcp,http,SF,241,1,1
33,0,tcp,http,SF,303,1,1
35,0,udp,domain_u,SF,45,1,1
36,1,udp,private,SF,105,1,1
37,0,udp,domain_u,SF,43,1,1
39,0,tcp,http,SF,324,1,1
43,2,tcp,smtp,SF,1591,1,1
44,9052,udp,other,SF,146,1,1
45,0,tcp,http,SF,290,1,1
48,0,tcp,http,SF,255,1,1
51,0,tcp,http,SF,302,1,1
54,0,tcp,http,SF,220,1,1
55,0,udp,domain_u,SF,43,1,1
56,0,udp,domain_u,SF,44,1,1
60,0,udp,domain_u,SF,43,1,1
61,0,tcp,ftp_data,SF,641,1,1
64,0,tcp,http,SF,310,1,1
66,0,tcp,smtp,SF,696,1,1
71,0,tcp,http,SF,221,1,1
73,0,icmp,urp_i,SF,181,1,1
74,0,udp,domain_u,SF,42,1,1
76,0,tcp,ftp_data,SF,12,1,1
78,0,tcp,http,SF,210,1,1
79,0,tcp,http,SF,321,1,1
81,0,tcp,http,SF,329,1,1
85,0,tcp,http,SF,320,1,1
87,0,tcp,http,SF,225,1,1
90,315,udp,other,SF,146,1,1
91,0,tcp,http,SF,247,1,1
92,0,tcp,http,SF,353,1,1
93,0,udp,domain_u,SF,44,1,1
96,2,tcp,smtp,SF,3065,1,1
97,0,udp,other,SF,102,1,1
98,0,tcp,http,SF,259,1,1
99,1082,udp,other,SF,147,1,1
101,0,tcp,http,SF,0,1,1
102,0,tcp,http,SF,309,1,1
103,0,tcp,http,REJ,0,1,1
104,0,tcp,http,SF,278,1,1
106,0,tcp,http,SF,313,1,1
107,0,tcp,http,SF,219,1,1
108,0,tcp,http,SF,245,1,1
109,0,tcp,http,SF,328,1,1
110,0,tcp,http,REJ,0,1,1
111,0,tcp,http,SF,251,1,1
112,0,tcp,smtp,SF,2089,1,1
113,0,tcp,http,REJ,0,1,1
114,0,tcp,http,SF,237,1,1
115,0,tcp,http,SF,324,1,1
118,0,udp,private,SF,105,1,1
119,0,tcp,http,SF,218,1,1
120,0,tcp,http,SF,325,1,1
124,240,tcp,http,SF,328,1,1
126,0,tcp,finger,SF,9,1,1
127,0,udp,domain_u,SF,46,1,1
128,1,tcp,smtp,SF,1079,1,1
129,0,udp,domain_u,SF,45,1,1
130,26,tcp,ftp,SF,273,1,1
133,0,tcp,http,SF,237,1,1
134,0,tcp,http,SF,225,1,1
137,0,udp,other,SF,147,1,1
